version,repetition,scenario,keys,resolve_ms,replay_ms,drained_ms,gets,batches,blob_requests,wire_blob_bytes,demand_fetched
before,3,snapshot-local,128,2.6832499999999997,47.084875,47.335750000000004,1,233,6621,22894799,572
before,3,snapshot-20ms,128,1.6601249999999999,279.20879199999996,279.43337499999996,1,185,6409,21423413,204
before,3,snapshot-60ms,128,1.693333,791.386208,791.6255,1,182,6290,21024627,203
before,3,fallback-20ms-5mib,128,4544.560041000001,4618.116458,4618.3277499999995,128,256,5628,17932259,626
before,3,snapshot-20ms-20mib,128,3.4005419999999997,1140.447,1140.988,1,187,6461,21590726,167
before,4,inline-local,128,44.11000000000001,50.505874999999996,50.734500000000004,128,4,6,17235812,2337
before,4,inline-20ms,128,2951.3781249999997,2952.477834,2952.757,128,6,6,17232276,2198
before,4,fallback-20ms,128,2915.353083,2943.357583,2943.7766669999996,128,262,5803,18719822,1126
before,4,snapshot-local,128,8.149917,63.62225000000001,63.790625000000006,1,263,7609,26138637,916
before,4,snapshot-20ms,128,1.8002090000000002,286.498417,286.831583,1,177,6042,20334833,160
before,4,snapshot-60ms,128,1.767458,787.058,787.406167,1,196,6790,22687942,227
before,4,fallback-20ms-5mib,128,4342.937457999999,4418.304333,4418.605791,128,241,5381,17117281,408
before,4,snapshot-20ms-20mib,128,2.3930000000000002,1137.534167,1138.2790830000001,1,189,6532,21826121,99
after,4,inline-local,128,43.393042,47.35975,47.651542,128,4,4,17238196,2676
after,4,inline-20ms,128,2942.240916,2942.910792,2943.754417,128,0,0,17228818,2762
after,4,fallback-20ms,128,2879.376083,2950.2240410000004,2950.6110830000002,128,287,4741,15174933,2753
after,4,snapshot-local,128,10.867292,58.995082999999994,59.244708,1,230,6321,20328901,907
after,4,snapshot-20ms,128,2.527334,320.004625,320.24399999999997,1,179,5416,17804598,935
after,4,snapshot-60ms,128,2.4165419999999997,786.598083,787.414083,1,146,4722,15737563,1042
after,4,fallback-20ms-5mib,128,4548.77125,4626.242249999999,4626.785333,128,279,4741,15174933,2679
after,4,snapshot-20ms-20mib,128,4.216708,886.83225,887.1448330000001,1,154,4862,16180277,1350
